"filename", "language", "HTML", "CSS", "JavaScript", "JSON", "XML", "Python", "Draw.io", "comment", "blank", "total"
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\DB design.drawio", "Draw.io", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\dictionary.py", "Python", 0, 0, 0, 0, 0, 290, 0, 36, 75, 401
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\html\examples.html", "HTML", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\html\explains.html", "HTML", 19, 0, 0, 0, 0, 0, 0, 1, 3, 23
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\html\listen.html", "HTML", 25, 0, 0, 0, 0, 0, 0, 0, 7, 32
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\html\read.html", "HTML", 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\html\speak.html", "HTML", 26, 0, 0, 0, 0, 0, 0, 1, 6, 33
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\html\write.html", "HTML", 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\index.html", "HTML", 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\javascript.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\main.py", "Python", 0, 0, 0, 0, 0, 57, 0, 8, 27, 92
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\package.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\script\changePraceticePage.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\script\counter.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\script\db.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\script\dictionary.js", "JavaScript", 0, 0, 140, 0, 0, 0, 0, 0, 11, 151
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\script\example.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 5, 5, 34
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\script\examples.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 10, 14, 60
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\script\explains.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 1, 6, 28
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\script\jquery.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 3, 1, 7
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\script\layer.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
